CPU,Time,GHz
0,2024-03-09 12:29:23.381998,0.016
1,2024-03-09 12:29:23.382004,0.018
2,2024-03-09 12:29:23.382007,0.028
3,2024-03-09 12:29:23.382009,0.111
0,2024-03-09 12:29:23.493157,0.014
1,2024-03-09 12:29:23.493163,0.014
2,2024-03-09 12:29:23.493166,0.111
3,2024-03-09 12:29:23.493168,0.287
0,2024-03-09 12:29:23.603988,0.019
1,2024-03-09 12:29:23.603995,0.016
2,2024-03-09 12:29:23.603997,0.020
3,2024-03-09 12:29:23.604000,0.026
0,2024-03-09 12:29:23.714811,0.085
1,2024-03-09 12:29:23.714817,0.018
2,2024-03-09 12:29:23.714820,0.099
3,2024-03-09 12:29:23.714822,0.073
0,2024-03-09 12:29:23.826235,0.132
1,2024-03-09 12:29:23.826242,0.025
2,2024-03-09 12:29:23.826244,0.269
3,2024-03-09 12:29:23.826247,0.187
0,2024-03-09 12:29:23.936851,0.015
1,2024-03-09 12:29:23.936858,0.016
2,2024-03-09 12:29:23.936861,0.139
3,2024-03-09 12:29:23.936863,0.151
0,2024-03-09 12:29:24.049654,0.013
1,2024-03-09 12:29:24.049661,0.014
2,2024-03-09 12:29:24.049664,0.034
3,2024-03-09 12:29:24.049667,0.038
0,2024-03-09 12:29:24.160702,0.015
1,2024-03-09 12:29:24.160709,0.014
2,2024-03-09 12:29:24.160711,0.219
3,2024-03-09 12:29:24.160717,0.183
